title,company,location,avg_salary,description,redirect_url,experience_level,soc_code,job_category,matched_skills
Director Commercial Software Development,Armada,"Fox Chapel, Allegheny County",190436.11,"Exciting News – We’re Moving! As part of our continued growth and our commitment to fostering an exceptional, collaborative work environment, we’re thrilled to announce that our office will be relocating to a brand-new building at 2000 Innovation Drive, Wexford PA 15090 at the end of the year. In the meantime, hybrid employees will continue working from our current location at RIDC – O’Hara until the transition is complete. We’re excited about this next chapter and look forward to welcoming new…",https://www.adzuna.com/details/5365527401?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
ServiceNow Deployment-Senior Manager,PwC,"Pittsburgh, Allegheny County",163615.7,"Specialty/Competency: Platform Engineering & Architecture Industry/Sector: Not Applicable Time Type: Full time Travel Requirements: Up to 80% At PwC, our people in infrastructure focus on designing and implementing robust, secure IT systems that support business operations. They enable the smooth functioning of networks, servers, and data centres to optimise performance and minimise downtime. Those in cloud operations at PwC will focus on managing and optimising cloud infrastructure and service…",https://www.adzuna.com/details/5365324129?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Lead Software Engineer - Angular / API Integration / Spring Boot / Oracle,PNC,"Pittsburgh, Allegheny County",94177.82,"Position Overview At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company's success. As a Lead Software Engineer within PNC's AMG Technology organization, you will be based in Pittsburgh, PA, Strongsville, OH, Da…",https://www.adzuna.com/details/5365322560?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Senior Developer 5828490,Accenture,"Pittsburgh, Allegheny County",222700.14,"Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists. As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for …",https://www.adzuna.com/details/5365314637?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Client Partner IT Sales Professional,Techstra Solutions,"Pittsburgh, Allegheny County",113203.88,"Techstra Solutions, an IT consulting company is seeking focused, and results driven Client Partners to work closely with large Healthcare and Financial Services organizations undergoing Digital and IT Talent transformation in the areas of Cloud, Application Development, Automation and Data. Techstra Solutions helps large enterprises navigate change and implement new strategies that achieve the business value of Digital Transformation. We believe there are three components in successful business…",https://www.adzuna.com/details/5365197783?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Lead Software Engineer,Govini,"Arsenal, Allegheny County",139095.56,"Company Description Govini transforms Defense Acquisition from an outdated manual process to a software-driven strategic advantage for the United States. Our flagship product, Ark, supports Supply Chain, Science and Technology, Production, Sustainment, Logistics, and Modernization teams with AI-enabled Applications and best-in-class data to more rapidly imagine, develop, and field the capabilities we need. Today, the national security community and every branch of the military rely on Govini to…",https://www.adzuna.com/details/5365170139?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
"Software Engineer Lead (Java, Angular, React, Spring)",PNC Bank,"Pittsburgh, Allegheny County",106850.0,"Position Overview At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company’s success. As a Software Engineer Lead within PNC's Technology organization, you will be based in Pittsburgh, PA Strongsville, OH, Birming…",https://www.adzuna.com/details/5364764170?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Quality Assurance Lead - Contractor,System One,"Pittsburgh, Allegheny County",75348.29,"Pittsburgh PA Two PNC Plaza 620 Liberty Ave, Pittsburgh, PA 15222 Cleveland OH Strongsville Technology Center 8100 Mohawk Dr., Strongsville, OH 44136 Birmingham AL Birmingham - Brock 701 32nd St. South, Birmingham, AL 35233 North Texas Market TX Dallas Innovation Center - Luna Rd 11511 Luna Rd, Farmers Branch, TX 75234 Phoenix AZ Phoenix - Biltmore 2850 E CAMELBACK RD, Phoenix AZ 85016 Secondary-Philly Jacksonville Potential for Contract Extension: Potentially through March 2027 Function of the…",https://www.adzuna.com/details/5363704549?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Udeploy Infrastructure Engineer Sr,System One,"Pittsburgh, Allegheny County",112722.76,"We have below mentioned Udeploy infrastructure Engineer role, If interested please share your resume to ariz.khan@systemone.com. Key responsibilities: More than just using Udeploy for deployments, need to have installation, architecture, lead experience with UDeploy Trying to fill gap of former PNC employee who had 5 yrs of UDeploy exp at PNC and was integral for installation and upgrading UDeploy Experience with Kubernetes and / or Openshift and Helm deploying application services Experience w…",https://www.adzuna.com/details/5363703471?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,['kubernetes']
Software Engineer - XR Codec Interactions and Avatars Team,Meta,"Pittsburgh, Allegheny County",138461.88,"Summary: XR Codec Interactions and Avatars (XRCIA) brings together a highly interdisciplinary team of researchers and engineers to create the future of augmented and virtual reality. On the Research Oriented Cluster Foundations team, you'll work on building and maintaining tools, libraries, and frameworks that will help researchers collaborate with each other and empower their research towards the generation of Codec Interactions and Avatars. Our team cultivates an honest and considerate enviro…",https://www.adzuna.com/details/5363688009?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
