title,occupation_code,occupation_family,occupation_family_id,state,state_code,description,skills,technology_skills,education_level,salary_median,job_growth,work_activities,work_context,knowledge_areas,abilities,work_styles,tasks,tools_used,work_values,pa_cities_mentioned,pa_industries_mentioned,url
Hydroelectric Production Managers,11-3051.06,Management Occupations,11,Pennsylvania,PA,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'SQL', 'Apache Kafka', 'Perl']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



29%





 




 responded: 
Post-secondary certificate required





21%





 




 responded: 
Associate’s degree required





15%





 




 responded: 
Bachelor’s degree required



back to top


Worker Characteristics
Abilities

 5 ofAll 22 displayed (Show allShow top 5)


Oral Comprehension — The ability to listen to and understand information and ideas presented through spoken words and sentences",$58.39,,"['Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.', 'Sample of reported job titles:Hydroelectric Station Supervisor (Hydro Station Supervisor), Plant Manager, Power Plant Superintendent, Power Plant Supervisor, Power Project Manager', 'Maintain records of hydroelectric facility operations, maintenance, or repairs.Related occupations', 'Supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards.Related occupations', 'Develop or implement projects to improve efficiency, economy, or effectiveness of hydroelectric plant operations.Related occupations', 'Provide technical direction in the erection or commissioning of hydroelectric equipment or supporting electrical or mechanical systems.Related occupations', 'Supervise hydropower plant equipment installations, upgrades, or maintenance.Related occupations', 'Plan or manage hydroelectric plant upgrades.Related occupations', 'Develop or review budgets, annual plans, power contracts, power rates, standing operating procedures, power reviews, or engineering studies.Related occupations', 'Develop or implement policy evaluation procedures for hydroelectric generation activities.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance', 'Energy', 'Agriculture', 'Transportation']",https://www.onetonline.org/link/summary/11-3051.06
Industrial Production Managers,11-3051.00,Management Occupations,11,Pennsylvania,PA,"Sample of reported job titles:Area Plant Manager, Assembly Manager, General Production Manager, Manufacturing Coordinator, Manufacturing Manager, Plant Manager, Product Line Manager, Production Control Manager, Production Manager, Sub Plant Manager",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$58.39,,"['Also see:Quality Control Systems Managers,Geothermal Production Managers,Biofuels Production Managers,Biomass Power Plant Managers,Hydroelectric Production Managers', 'Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.Related occupations', 'Prepare and maintain production reports or personnel records.Related occupations', 'Review plans and confer with research or support staff to develop new products or processes.Related occupations', 'Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.Related occupations', 'Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.Related occupations', 'Develop or enforce procedures for normal operation of manufacturing systems.Related occupations', 'Implement operational and emergency procedures.Related occupations', 'Maintain records to demonstrate compliance with safety and environmental laws, regulations, or policies.Related occupations', 'Supervise subordinate employees.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance', 'Agriculture', 'Transportation']",https://www.onetonline.org/link/summary/11-3051.00
Investment Fund Managers,11-3031.03,Management Occupations,11,Pennsylvania,PA,"Sample of reported job titles:Fixed Income Portfolio Manager, Fixed Income Vice President (Fixed Income VP), Investment Analysis Vice President (Investment Analysis VP), Portfolio Manager",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Tableau', 'Power BI', 'Excel', 'SQL']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



63%





 




 responded: 
Master’s degree required





33%





 




 responded: 
Bachelor’s degree required





2%





 




 responded: 
Post-master’s certificate requiredmore info




back to top


Worker Characteristics
Abilities

 5 ofAll 19 displayed (Show allShow top 5)


Deductive Reasoning — The ability to apply general rules to specific problems to produce answers that make sense",$77.74,,"['Sample of reported job titles:Fixed Income Portfolio Manager, Fixed Income Vice President (Fixed Income VP), Investment Analysis Vice President (Investment Analysis VP), Portfolio Manager', 'Manage investment funds to maximize return on client investments.Related occupations', 'Develop or implement fund investment policies or strategies.Related occupations', 'Develop, implement, or monitor security valuation policies.Related occupations', 'Evaluate the potential of new product developments or market opportunities, according to factors such as business plans, technologies, or market potential.Related occupations', 'Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.Related occupations', 'Develop or direct development of offering documents or marketing materials.Related occupations', 'Analyze acquisitions to ensure conformance with strategic goals or regulatory requirements.Related occupations', 'Computer aided design CAD software— Autodesk AutoCAD Blue SkyRelated occupations', 'Document management software— ReadSoftRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-3031.03
Legislators,11-1031.00,Management Occupations,11,Pennsylvania,PA,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",[],"['R', 'Go', 'AWS', 'Excel', 'SQL']","Related occupations



Find occupations related to multiple detailed work activities
back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not","$44,810",,"['Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.', 'Analyze and understand the local and national implications of proposed legislation.Related occupations', 'Develop expertise in subject matters related to committee assignments.Related occupations', 'Maintain knowledge of relevant national and international current events.Related occupations', 'Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.Related occupations', 'Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.Related occupations', 'Establish personal offices in local districts or states, and manage office staff.Related occupations', 'Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.Related occupations', 'Speak to students to encourage and support the development of future political leaders.Related occupations', 'Development environment software— Microsoft Visual BasicRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-1031.00
Lodging Managers,11-9081.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$32.76,,"['Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.', 'Confer and cooperate with other managers to ensure coordination of hotel activities.Related occupations', 'Manage and maintain temporary or permanent lodging facilities.Related occupations', 'Develop and implement policies and procedures for the operation of a department or establishment.Related occupations', 'Provide assistance to staff members by inspecting rooms, setting tables, or doing laundry.Related occupations', 'Customer relationship management CRM software— Enablez ResortSuiteRelated occupations', 'Data base user interface and query software— Microsoft Access; Property management system PMS softwareRelated occupations', 'Facilities management software— Anand Systems ASI FrontDesk; M-Tech Hotel Service Optimization System HotSOS; TCS Hotel Software Guest Tracker; UniResMan;9 moreRelated occupations', 'Training and Teaching Others— Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.Related occupations', 'Establishing and Maintaining Interpersonal Relationships— Developing constructive and cooperative working relationships with others, and maintaining them over time.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance', 'Transportation']",https://www.onetonline.org/link/summary/11-9081.00
Loss Prevention Managers,11-9199.08,Management Occupations,11,Pennsylvania,PA,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'MySQL', 'SQL']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$65.65,,"['Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.', 'Administer systems and programs to reduce loss, maintain inventory control, or increase safety.Related occupations', 'Train loss prevention staff, retail managers, or store employees on loss control and prevention measures.Related occupations', 'Provide recommendations and solutions in crisis situations such as workplace violence, protests, and demonstrations.Related occupations', 'Identify potential for loss and develop strategies to eliminate it.Related occupations', 'Hire or supervise loss prevention staff.Related occupations', 'Advise retail managers on compliance with applicable codes, laws, regulations, or standards.Related occupations', 'Develop and maintain partnerships with federal, state, or local law enforcement agencies or members of the retail loss prevention community.Related occupations', 'Maintain documentation of all loss prevention activity.Related occupations', 'Analyze retail data to identify current or emerging trends in theft or fraud.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-9199.08
"Managers, All Other",11-9199.00,Management Occupations,11,Pennsylvania,PA,,[],"['R', 'Go']","SummaryDetails
More

Custom


Custom

Contents





Occupation-Specific Information
Overview

Experience Requirements
Training & Credentials 


Workforce Characteristics
Wages & EmploymentJob Openings 






Experience Requirements
Training & Credentials
 State training



Select a State
Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
District of Columbia
Florida
Georgia
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
Nevada
New Hampshire
New Jersey
New Mexico
New York
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
American Samoa
Guam
Northern Mariana Islands
Puerto Rico
Virgin Islands

Go



Local training


ZIP Code

Go



Certifications


    Find certifications nationwide
    



State licenses



Select a State
Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
District of Columbia
Florida
Georgia
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
Nevada
New Hampshire
New Jersey
New Mexico
New York
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
American Samoa
Guam
Northern Mariana Islands
Puerto Rico
Virgin Islands

Go



back to top


Workforce Characteristics
Wages & Employment Trends
 Median wages (2024)
$65",$65.65,,"['11-9199.01Regulatory Affairs Managers', '11-9199.02Compliance Managers', '11-9199.08Loss Prevention Managers', '11-9199.09Wind Energy Operations Managers', '11-9199.10Wind Energy Development Managers', '11-9199.11Brownfield Redevelopment Specialists and Site Managers', 'All managers not listed separately.']",[],[],[],[],[],[],[],"['Erie', 'York']","['Education', 'Technology', 'Energy']",https://www.onetonline.org/link/summary/11-9199.00
Marketing Managers,11-2021.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",[],"['Python', 'R', 'MATLAB', 'Go', 'Rust', 'Swift', 'HTML', 'CSS', 'React', 'Azure', 'Git', 'Cloud Computing', 'Tableau', 'Excel', 'MySQL', 'SQL', 'PHP', 'Ruby']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$77.42,,"['Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.Related occupations', 'Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.Related occupations', 'Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.Related occupations', 'Develop pricing strategies, balancing firm objectives and customer satisfaction.Related occupations', 'Consult with product development personnel on product specifications, such as design, color, or packaging.Related occupations', 'Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.Related occupations', 'Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.Related occupations', 'Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.Related occupations', 'Initiate market research studies, or analyze their findings.Related occupations', 'Develop business cases for environmental marketing strategies.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Healthcare', 'Education', 'Technology', 'Finance', 'Transportation']",https://www.onetonline.org/link/summary/11-2021.00
Medical and Health Services Managers,11-9111.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",[],"['R', 'Go', 'Rust', 'React', 'Hadoop', 'AWS', 'Cloud Computing', 'Tableau', 'Excel', 'SQL']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$56.71,,"['Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.', 'Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.Related occupations', 'Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.Related occupations', 'Manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care.Related occupations', 'Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.Related occupations', 'Establish objectives and evaluative or operational criteria for units managed.Related occupations', 'Develop and implement organizational policies and procedures for the facility or medical unit.Related occupations', 'Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.Related occupations', 'Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.Related occupations', 'Develop or expand and implement medical programs or health services that promote research, rehabilitation, and community health.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Healthcare', 'Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-9111.00
Natural Sciences Managers,11-9121.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",[],"['R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'SQL']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



35%





 




 responded: 
Bachelor’s degree required





27%





 




 responded: 
Post-doctoral training required





15%





 




 responded: 
Master’s degree required



back to top


Worker Characteristics
Abilities

 5 ofAll 18 displayed (Show allShow top 5)


Written Comprehension — The ability to read and understand information and ideas presented in writing",$77.49,,"['Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.', 'Hire, supervise, or evaluate engineers, technicians, researchers, or other staff.Related occupations', 'Design or coordinate successive phases of problem analysis, solution proposals, or testing.Related occupations', 'Plan or direct research, development, or production activities.Related occupations', 'Confer with scientists, engineers, regulators, or others to plan or review projects or to provide technical assistance.Related occupations', 'Develop client relationships and communicate with clients to explain proposals, present research findings, establish specifications, or discuss project status.Related occupations', 'Determine scientific or technical goals within broad outlines provided by top management and make detailed plans to accomplish these goals.Related occupations', 'Develop or implement policies, standards, or procedures for the architectural, scientific, or technical work performed to ensure regulatory compliance or operations enhancement.Related occupations', 'Recruit personnel or oversee the development or maintenance of staff competence.Related occupations', 'Develop innovative technology or train staff for its implementation.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-9121.00
"Personal Service Managers, All Other",11-9179.00,Management Occupations,11,Pennsylvania,PA,,[],"['R', 'Go']","SummaryDetails
More

Custom


Custom

Contents





Occupation-Specific Information
Overview

Experience Requirements
Training & Credentials 


Workforce Characteristics
Wages & EmploymentJob Openings 






Experience Requirements
Training & Credentials
 State training



Select a State
Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
District of Columbia
Florida
Georgia
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
Nevada
New Hampshire
New Jersey
New Mexico
New York
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
American Samoa
Guam
Northern Mariana Islands
Puerto Rico
Virgin Islands

Go



Local training


ZIP Code

Go



Certifications


    Find certifications nationwide
    



State licenses



Select a State
Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
District of Columbia
Florida
Georgia
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
Nevada
New Hampshire
New Jersey
New Mexico
New York
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
American Samoa
Guam
Northern Mariana Islands
Puerto Rico
Virgin Islands

Go



back to top


Workforce Characteristics
Wages & Employment Trends
 Median wages (2024)
$29",$29.49,,"['11-9179.02Spa Managers', 'All personal service managers not listed separately.']",[],[],[],[],[],[],[],"['Erie', 'York']","['Education', 'Technology']",https://www.onetonline.org/link/summary/11-9179.00
Postmasters and Mail Superintendents,11-9131.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



62%





 




 responded: 
High school diploma or equivalent requiredmore info






13%





 




 responded: 
Bachelor’s degree required





11%





 




 responded: 
Some college, no degree requiredmore info




back to top


Worker Characteristics
Abilities

 5 ofAll 16 displayed (Show allShow top 5)


Oral Comprehension — The ability to listen to and understand information and ideas presented through spoken words and sentences",$44.58,,"['Organize and supervise activities, such as the processing of incoming and outgoing mail.Related occupations', 'Direct and coordinate operational, management, and supportive services of one or a number of postal facilities.Related occupations', 'Prepare and submit detailed and summary reports of post office activities to designated supervisors.Related occupations', 'Select and train postmasters and managers of associate postal units.Related occupations', 'Data base user interface and query software— Collection Point Management System CPMS; Facility database software; Postal tracking software; Web Box Activity Tracing System WebBATSRelated occupations', 'Facilities management software— Vehicle management softwareRelated occupations', 'Human resources software— Personnel management software; Personnel scheduling softwareRelated occupations', 'Organizing, Planning, and Prioritizing Work— Developing specific goals and plans to prioritize, organize, and accomplish your work.Related occupations', 'Performing Administrative Activities— Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.Related occupations', 'Establishing and Maintaining Interpersonal Relationships— Developing constructive and cooperative working relationships with others, and maintaining them over time.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance', 'Transportation']",https://www.onetonline.org/link/summary/11-9131.00
"Property, Real Estate, and Community Association Managers",11-9141.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",[],"['R', 'Go', 'Rust', 'HTML', 'React', 'AWS', 'Excel']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$32.07,,"['Manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties.Related occupations', 'Meet with clients to negotiate management and service contracts, determine priorities, and discuss the financial and operational status of properties.Related occupations', 'Act as liaisons between on-site managers or tenants and owners.Related occupations', 'Investigate complaints, disturbances, and violations and resolve problems, following management rules and regulations.Related occupations', 'Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.Related occupations', 'Solicit and analyze bids from contractors for repairs, renovations, and maintenance.Related occupations', 'Maintain contact with insurance carriers, fire and police departments, and other agencies to ensure protection and compliance with codes and regulations.Related occupations', 'Meet with prospective tenants to show properties, explain terms of occupancy, and provide information about local areas.Related occupations', 'Analyze information on property values, taxes, zoning, population growth, and traffic volume and patterns to determine if properties should be acquired.Related occupations', 'Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-9141.00
Public Relations Managers,11-2032.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",[],"['R', 'Go', 'HTML', 'Excel']","Related occupations



Find occupations related to multiple detailed work activities
back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$66.60,,"['Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.', 'Assign, supervise, and review the activities of public relations staff.Related occupations', 'Confer with labor relations managers to develop internal communications that keep employees informed of company activities.Related occupations', 'Design and edit promotional publications, such as brochures.Related occupations', ""Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.Related occupations"", 'Develop, implement, or maintain crisis communication plans.Related occupations', 'Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.Related occupations', 'Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.Related occupations', 'Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.Related occupations', 'Maintain company archives.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'York']","['Healthcare', 'Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-2032.00
Purchasing Managers,11-3061.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$67.07,,"['Develop and implement purchasing and contract management instructions, policies, and procedures.Related occupations', 'Develop cost reduction strategies and savings plans.Related occupations', 'Analyze market and delivery systems to assess present and future material availability.Related occupations', 'Participate in the development of specifications for equipment, products, or substitute materials.Related occupations', 'Maintain records of goods ordered and received.Related occupations', 'Document management software— Microsoft SharePointRelated occupations', 'Financial analysis software— Oracle PeopleSoft Enterprise Financial Management SolutionsRelated occupations', 'Inventory management softwareRelated occupations', 'Materials requirements planning logistics and supply chain software— Infor Lawson Supply Chain Management; Materials requirement planning MRP softwareRelated occupations', 'Process mapping and design software— Microsoft VisioRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance', 'Transportation']",https://www.onetonline.org/link/summary/11-3061.00
Quality Control Systems Managers,11-3051.01,Management Occupations,11,Pennsylvania,PA,"Sample of reported job titles:Product Quality Director, Quality and Food Safety Manager, Quality and Process Improvement Manager, Quality Assurance Director (QA Director), Quality Assurance Manager (QA Manager), Quality Control Manager (QC Manager), Quality Control Supervisor (QC Supervisor), Quality Director, Quality Manager, Quality Systems Director",[],"['Java', 'R', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'SQL', 'Perl']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$58.39,,"['Analyze quality control test results and provide feedback and interpretation to production management or staff.Related occupations', 'Participate in the development of product specifications.Related occupations', 'Collect and analyze production samples to evaluate quality.Related occupations', 'Monitor development of new products to help identify possible problems for mass production.Related occupations', 'Create and implement inspection and testing criteria or procedures.Related occupations', 'Coordinate the selection and implementation of quality control equipment, such as inspection gauges.Related occupations', 'Generate and maintain quality control operating budgets.Related occupations', 'Analytical or scientific software— Minitab; Statgraphics; Systat Software LISA.lims; Thermo Fisher Scientific Laboratory Information Management Systems LIMS;10 moreRelated occupations', 'Document management software— Adobe AcrobatRelated occupations', 'Industrial control software— ASI DATAMYTE GageMetrics; Infinity QS ProFicient; PQ Systems MEASUREspy; Vivaldi Software Vivaldi Quality Management;8 moreRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-3051.01
Regulatory Affairs Managers,11-9199.01,Management Occupations,11,Pennsylvania,PA,"Sample of reported job titles:CMC Director (Chemistry, Manufacturing, and Controls Director); Compliance Director; Global RA Director (Global Regulatory Affairs Director); Global RA Manager (Global Regulatory Affairs Manager); RA Director (Regulatory Affairs Director); RA Manager (Regulatory Affairs Manager); RA QA Director (Regulatory Affairs Quality Assurance Director); RA VP (Regulatory Affairs Vice President); Regulatory Director; Vaccine RA Director (Vaccine Regulatory Affairs Director)",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Tableau', 'Excel', 'SQL']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$65.65,,"['Develop regulatory strategies and implementation plans for the preparation and submission of new products.Related occupations', 'Provide responses to regulatory agencies regarding product information or issues.Related occupations', 'Provide regulatory guidance to departments or development project teams regarding design, development, evaluation, or marketing of products.Related occupations', 'Manage activities such as audits, regulatory agency inspections, or product recalls.Related occupations', 'Maintain current knowledge of relevant regulations, including proposed and final rules.Related occupations', 'Formulate or implement regulatory affairs policies and procedures to ensure that regulatory compliance is maintained or enhanced.Related occupations', 'Participate in the development or implementation of clinical trial protocols.Related occupations', 'Implement or monitor complaint processing systems to ensure effective and timely resolution of all complaint investigations.Related occupations', 'Develop and maintain standard operating procedures or local working practices.Related occupations', 'Contribute to the development or implementation of business unit strategic and operating plans.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-9199.01
